suspectible,exposed,infected,carrier,dead,recovered
916953,8578,20229,3134,410,50696
915305,8806,20516,3204,422,51747
913668,8895,20884,3253,430,52870
912016,8974,21240,3331,439,54000
910331,9085,21627,3406,443,55108
908566,9247,21981,3469,452,56285
906789,9435,22325,3547,459,57445
904955,9548,22781,3606,462,58648
903135,9657,23215,3674,470,59849
901182,9910,23607,3752,478,61071
899204,10160,24025,3826,492,62293
897302,10367,24398,3855,499,63579
895341,10428,24848,3949,510,64924
893391,10501,25322,4051,519,66216
891343,10636,25773,4138,533,67577
889272,10795,26263,4250,549,68871
887148,11058,26677,4294,562,70261
885070,11158,27068,4410,570,71724
882879,11327,27576,4486,580,73152
880623,11545,28085,4508,592,74647
878376,11734,28616,4530,602,76142
876170,11866,29094,4621,613,77636
873892,11989,29589,4681,621,79228
871544,12171,30050,4766,634,80835
869154,12438,30424,4832,647,82505
866803,12550,30965,4941,658,84083
864414,12677,31458,5025,672,85754
861931,12840,31948,5095,685,87501
859498,12911,32451,5203,700,89237
856967,13062,33009,5308,714,90940
854473,13107,33539,5425,733,92723
851808,13429,34047,5495,748,94473
849216,13625,34444,5554,767,96394
846555,13795,35085,5636,782,98147
843861,13962,35586,5679,794,100118
841172,14173,36091,5737,807,102020
838504,14329,36554,5814,820,103979
835720,14517,37059,5860,837,106007
832902,14602,37551,5976,851,108118
830115,14709,38072,6072,867,110165
827259,14877,38629,6113,880,112242
824345,15039,39161,6218,894,114343
821421,15282,39666,6247,916,116468
818513,15412,40218,6328,932,118597
815614,15358,40877,6428,950,120773
812644,15491,41392,6531,967,122975
809624,15775,41796,6522,985,125298
806677,15836,42336,6636,1005,127510
803571,15960,42933,6792,1017,129727
800390,16105,43605,6810,1033,132057
797240,16176,44264,6841,1048,134431
794078,16375,44734,6919,1068,136826
790905,16533,45150,7032,1093,139287
787702,16662,45658,7122,1106,141750
784418,16799,46236,7180,1133,144234
781127,16951,46753,7257,1155,146757
777757,17110,47258,7377,1178,149320
774458,17255,47733,7396,1200,151958
771201,17330,48214,7416,1224,154615
767940,17288,48696,7519,1240,157317
764477,17465,49204,7572,1257,160025
761095,17509,49753,7610,1282,162751
757704,17661,50183,7665,1299,165488
754251,17799,50671,7713,1326,168240
750805,17838,51269,7750,1349,170989
747301,18039,51670,7780,1370,173840
743786,18162,52099,7878,1390,176685
740344,18127,52475,7935,1406,179713
736854,18236,52934,7956,1425,182595
733343,18294,53368,8011,1447,185537
729843,18400,53713,8060,1476,188508
726249,18508,54131,8172,1512,191428
722695,18628,54424,8222,1536,194495
719160,18607,54876,8255,1556,197546
715625,18595,55248,8266,1585,200681
712097,18707,55517,8289,1617,203773
708672,18751,55778,8219,1644,206936
705103,18856,56013,8242,1674,210112
701575,18880,56219,8259,1691,213376
698160,18631,56592,8329,1724,216564
694673,18571,56878,8382,1754,219742
691188,18447,57111,8485,1773,222996
687725,18483,57195,8499,1810,226288
684225,18462,57392,8538,1831,229552
680761,18413,57589,8559,1864,232814
677142,18626,57567,8539,1884,236242
673599,18618,57722,8535,1912,239614
670161,18725,57753,8493,1941,242927
666727,18530,57971,8450,1967,246355
663327,18343,58219,8507,1996,249608
659898,18221,58405,8482,2032,252962
656525,18186,58418,8455,2072,256344
653144,18109,58516,8370,2100,259761
649827,17989,58536,8385,2127,263136
646312,18057,58600,8379,2153,266499
643007,17984,58565,8322,2183,269939
639798,17741,58561,8307,2218,273375
636490,17632,58580,8276,2241,276781
633015,17844,58476,8215,2268,280182
629675,17798,58488,8225,2298,283516
626416,17613,58488,8197,2330,286956
623254,17411,58383,8276,2347,290329
619990,17340,58354,8269,2378,293669
616878,17145,58214,8187,2401,297175
613720,17141,57960,8148,2439,300592
610585,17013,57806,8090,2463,304043
607490,16855,57691,8056,2487,307421
604390,16788,57448,8019,2517,310838
601252,16760,57293,8028,2544,314123
598191,16668,56948,8027,2581,317585
595159,16551,56652,7958,2609,321071
592260,16331,56456,7885,2633,324435
589339,16153,56212,7796,2658,327842
586421,15969,55990,7752,2686,331182
583518,15888,55662,7647,2715,334570
580694,15793,55333,7584,2743,337853
577856,15623,54954,7574,2779,341214
575117,15385,54729,7516,2812,344441
572290,15345,54344,7510,2837,347674
569487,15257,53984,7440,2855,350977
566702,15153,53549,7396,2883,354317
564004,15036,53135,7299,2911,357615
561318,14845,52686,7256,2934,360961
558769,14627,52334,7162,2961,364147
556084,14526,51981,7056,2988,367365
553447,14495,51529,6998,3012,370519
550993,14221,51169,6957,3034,373626
548522,14018,50802,6868,3058,376732
546110,13784,50445,6776,3082,379803
543758,13582,49937,6657,3112,382954
541271,13533,49369,6607,3130,386090
538907,13423,48790,6519,3152,389209
536575,13251,48351,6439,3176,392208
534390,12980,47800,6414,3202,395214
532106,12938,47340,6319,3232,398065
529850,12790,46914,6234,3262,400950
527712,12520,46462,6206,3290,403810
525504,12380,45968,6119,3313,406716
523374,12294,45406,6021,3334,409571
521184,12156,44880,5993,3364,412423
519042,12090,44405,5955,3381,415127
517106,11778,43886,5865,3398,417967
515160,11532,43530,5775,3424,420579
513099,11446,43020,5692,3436,423307
511133,11394,42419,5569,3459,426026
509177,11258,41840,5487,3483,428755
507313,11053,41326,5412,3505,431391
505504,10841,40743,5380,3535,433997
503569,10717,40244,5318,3556,436596
501727,10613,39797,5227,3583,439053
499948,10496,39212,5100,3611,441633
498243,10228,38748,5054,3629,444098
496515,10100,38203,4933,3657,446592
494869,9835,37775,4893,3679,448949
493219,9737,37286,4791,3698,451269
491567,9613,36849,4742,3714,453515
490016,9382,36350,4718,3732,455802
488383,9360,35791,4620,3763,458083
486825,9138,35384,4575,3773,460305
485323,8947,34999,4537,3784,462410
483833,8841,34416,4461,3802,464647
482362,8724,33895,4339,3820,466860
480930,8584,33415,4238,3833,469000
479480,8419,32988,4184,3847,471082
478039,8359,32502,4111,3870,473119
476626,8341,31935,4033,3887,475178
475305,8194,31449,3961,3908,477183
473976,8024,30931,3916,3934,479219
472725,7856,30441,3823,3947,481208
471405,7815,29925,3715,3958,483182
470174,7623,29491,3648,3971,485093
468993,7414,29035,3606,3991,486961
467839,7249,28564,3545,4005,488798
466707,7034,28136,3516,4021,490586
465556,6892,27761,3468,4037,492286
